"codTransaccion","codProducto","fechaPago","codReferencia"
879533930004006000,4,"2014-02-25",1981604350
986936690005006000,5,"2014-02-26",8373282336
999337340001006000,1,"2014-02-27",8707572337
596486550002006000,2,"2014-02-28",8491395343
694283870003006000,3,"2014-03-01",2139166956
943885570004006000,4,"2014-03-02",5775649347
947527630005006000,5,"2014-03-03",2104314681
244968770001006000,1,"2014-03-04",7841202494
529859380002006000,2,"2014-03-05",6869527519
249587950003006000,3,"2014-03-06",2691461397
822382830004006000,4,"2014-03-07",7124486015
297978440005006000,5,"2014-03-08",6830660611
339364440001006000,1,"2014-03-09",1713891075
722656720002006000,2,"2014-03-10",9951340368
587689940003006000,3,"2014-03-11",3889793967
765987590004006000,4,"2014-03-12",7444730214
475326630005006000,5,"2014-03-13",6517694204
658834590001006000,1,"2014-03-14",5702366469
669223480002006000,2,"2014-03-15",1981604350
448437960003006000,3,"2014-03-16",8373282336
835463950004006000,4,"2014-03-17",8707572337
328584440005006000,5,"2014-03-18",8491395343
459726880001006000,1,"2014-03-19",2139166956
456656980002006000,2,"2014-03-20",5775649347
639657830003006000,3,"2014-03-21",2104314681
647483470004006000,4,"2014-03-22",7841202494
364535620005006000,5,"2014-03-23",6869527519
942696390001006000,1,"2014-03-24",2691461397
234238470002006000,2,"2014-03-25",7124486015
983568530003006000,3,"2014-03-26",6830660611
558474840004006000,4,"2014-03-27",1713891075
257862630005006000,5,"2014-03-28",9951340368
884623290001006000,1,"2014-03-29",3889793967
273299890002006000,2,"2014-03-30",7444730214
623364740003006000,3,"2014-03-31",6517694204
967837320004006000,4,"2014-04-01",5702366469
327563580005006000,5,"2014-04-02",1981604350
385793980001006000,1,"2014-04-03",8373282336
569577390002006000,2,"2014-04-04",8707572337
736787680003006000,3,"2014-04-05",8491395343
332347650004006000,4,"2014-04-06",2139166956
399484550005006000,5,"2014-04-07",5775649347
898845550001006000,1,"2014-04-08",2104314681
229476730002006000,2,"2014-04-09",7841202494
533624380003006000,3,"2014-04-10",6869527519
973766690004006000,4,"2014-04-11",2691461397
976832340005006000,5,"2014-04-12",7124486015
